全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
122033,,市川市,市川小学校,イチカワショウガッコウ,,,,,,122033,,千葉県市川市市川2丁目32-5,千葉県,市川市,市川2丁目,32-5,,35.73213721,139.9051921,,,(047)325-4758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/ichikawa-sho,,,
122033,,市川市,真間小学校,ママショウガッコウ,,,,,,122033,,千葉県市川市真間4丁目1-1,千葉県,市川市,真間4丁目,1-1,,35.73787473,139.91005,,,(047)372-4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/mama-sho,,,
122033,,市川市,中山小学校,ナカヤマショウガッコウ,,,,,,122033,,千葉県市川市中山1丁目1-5,千葉県,市川市,中山1丁目,1-5,,35.72128304,139.9434013,,,(047)335-2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/nakayama-sho,,,
122033,,市川市,八幡小学校,ヤワタショウガッコウ,,,,,,122033,,千葉県市川市八幡3丁目24-1,千葉県,市川市,八幡3丁目,24-1,,35.72579844,139.9279234,,,(047)325-4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/yawata-sho,,,
122033,,市川市,国分小学校,コクブンショウガッコウ,,,,,,122033,,千葉県市川市東国分2丁目4-1,千葉県,市川市,東国分2丁目,4-1,,35.74501638,139.9205294,,,(047)371-6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/kokubun-sho,,,
122033,,市川市,大柏小学校,オオガシワショウガッコウ,,,,,,122033,,千葉県市川市大野町2丁目18７７,千葉県,市川市,大野町2丁目,18７７,,35.75022148,139.953733,,,(047)337-8141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/ohgashiwa-sho,,,
122033,,市川市,宮田小学校,ミヤタショウガッコウ,,,,,,122033,,千葉県市川市新田4丁目8-15,千葉県,市川市,新田4丁目,8-15,,35.72704923,139.9091432,,,(047)379-7647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/miyata-sho,,,
122033,,市川市,冨貴島小学校,フキシマショウガッコウ,,,,,,122033,,千葉県市川市八幡6丁目10-11,千葉県,市川市,八幡6丁目,10-11,,35.72679384,139.9372837,,,(047)334-2624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/fukijima-sho,,,
122033,,市川市,若宮小学校,ワカミヤショウガッコウ,,,,,,122033,,千葉県市川市若宮3丁目54-10,千葉県,市川市,若宮3丁目,54-10,,35.72691768,139.9516824,,,(047)339-2177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/wakamiya-sho,,,
122033,,市川市,国府台小学校,コウノダイショウガッコウ,,,,,,122033,,千葉県市川市国府台5丁目25-4,千葉県,市川市,国府台5丁目,25-4,,35.7534015,139.902679,,,(047)372-4672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-school.ed.jp/kounodai-sho,,,
