全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
122033,,市川市,常夜灯,ジョウヤトウ,,,市指定有形文化財,建造物,,122033,,千葉県市川市本行徳34地先,千葉県,市川市,本行徳,34,地先,35.69096131,139.9149073,,,,,,,,,,,,市川市,22196,,,,,,,,,,,,
122033,,市川市,隋神門,ズイシンモン,,,市指定有形文化財,建造物,,122033,,千葉県市川市八幡4丁目1-7,千葉県,市川市,八幡4丁目,1-7,,35.72331197,139.9305164,,,,,,,,,,,,葛飾八幡宮,22196,,,,,,,,,,,,
122033,,市川市,狩野浄天夫妻墓石・供養塔　附狩野浄天骨壺,カノウジョウテンフサイボセキ・クヨウトウツケタリカノウジョウテンコツツボ,,,市指定有形文化財,"建造物
歴史資料",,122033,,千葉県市川市香取1丁目16-26源心寺,千葉県,市川市,香取1丁目,16-26,源心寺,35.68133447,139.9035289,,,,,,,,,,,,"狩野一廣
歴史博物館",22313,,,,,,,,,,,,附についてはS63.7.5に指定
122033,,市川市,元弘の板碑,ゲンコウノイタビ,,,市指定有形文化財,建造物,,122033,,千葉県市川市高石神21-9泰福寺,千葉県,市川市,高石神,21-9,泰福寺,35.71958153,139.9435906,,,,,,,,,,,,秦福寺,22313,,,,,,,,,,,,
122033,,市川市,木彫日蓮坐像,モクチョウニチレンザゾウ,,,市指定有形文化財,美術工芸品・彫刻,,122033,,千葉県市川市柏井町1丁目1696唱行寺,千葉県,市川市,柏井町1丁目,1696,唱行寺,35.73656583,139.9710689,,,,,,,,,,,,唱行寺,22542,,,,,,,,,,,,
122033,,市川市,法華経寺黒門　附太田資順筆扁額,ホケキョウジクロモンツケタリオオタスケノブヒツヘンガク,,,市指定有形文化財,建造物,,122033,,千葉県市川市中山4丁目15-18,千葉県,市川市,中山4丁目,15-18,,35.71697689,139.9454652,,,,,,,,,,,,法華経寺,22594,,,,,,,,,,,,
122033,,市川市,本阿弥家分骨墓,ホンアミケブンコツボ,,,市指定有形文化財,建造物,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.71967089,139.9476979,,,,,,,,,,,,法華経寺,22594,,,,,,,,,,,,
122033,,市川市,光悦筆扁額　附「通本」,コウエツヒツヘンガクツケタリツウホン,,,市指定有形文化財,美術工芸品・書跡,,122033,,千葉県市川市中山2丁目10-1法華経寺,千葉県,市川市,中山2丁目,10-1,法華経寺,35.72087589,139.9491112,,,,,,,,,,,,法華経寺,22594,,,,,,,,,,,,附についてはS54.9.27指定
122033,,市川市,明戸古墳石棺,アケドコフンセキカン,,,市指定有形文化財,建造物,,122033,,千葉県市川市国府台3丁目9里見公園内,千葉県,市川市,国府台3丁目,9,里見公園内,35.74853372,139.8983222,,,,,,,,,,,,市川市,22808,,,,,,,,,,,,
122033,,市川市,浄光寺二王像,ジョウコウジニオウゾウ,,,市指定有形文化財,美術工芸品・彫刻,,122033,,千葉県市川市大野町3丁目1917浄光寺,千葉県,市川市,大野町3丁目,1917,浄光寺,35.75408319,139.9552203,,,,,,,,,,,,浄光寺,23803,,,,,,,,,,,,
122033,,市川市,妙好寺山門,ミョウコウジサンモン,,,市指定有形文化財,建造物,,122033,,千葉県市川市妙典1丁目11-10妙好寺,千葉県,市川市,妙典1丁目,11-10,妙好寺,35.69763669,139.9254709,,,,,,,,,,,,妙好寺,24895,,,,,,,,,,,,
122033,,市川市,小笠原政信夫妻供養塔,オガサワラマサノブフサイクヨウトウ,,,市指定有形文化財,建造物,,122033,,千葉県市川市国府台3丁目10-1総寧寺,千葉県,市川市,国府台3丁目,10-1,総寧寺,35.74809433,139.8999642,,,,,,,,,,,,総寧寺,28969,,,,,,,,,,,,
122033,,市川市,庚申五層塔,コウシンゴソウトウ,,,市指定有形文化財,建造物,,122033,,千葉県市川市柏井町3丁目654子安神社,千葉県,市川市,柏井町3丁目,654,子安神社,35.74486967,139.9639282,,,,,,,,,,,,子安神社,28969,,,,,,,,,,,,
122033,,市川市,本阿弥光悦分骨墓,ホンアミコウエツブンコツボ,,,市指定有形文化財,建造物,,122033,,千葉県市川市中山2丁目10-1法華経寺内,千葉県,市川市,中山2丁目,10-1,法華経寺内,35.71971661,139.9476128,,,,,,,,,,,,法華経寺,29125,,,,,,,,,,,,
