全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,行徳支所,ｷﾞｮｳﾄｸｼｼｮ,,,,,122033,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,35.68566311,139.9163834,,,,,,,,,,,,
122033,,市川市,須和田公園,ｽﾜﾀﾞｺｳｴﾝ,,,,,122033,,千葉県市川市真間5丁目1-13,千葉県,市川市,真間5丁目,1-13,,35.73886422,139.9127571,,,,,,,,,,,,
122033,,市川市,じゅん菜池緑地,ｼﾞｭﾝｻｲｲｹﾘｮｸﾁ,,,,,122033,,千葉県市川市中国分4丁目2７,千葉県,市川市,中国分4丁目,2７,,35.75400336,139.9043792,,,,,,,,,,,,
122033,,市川市,姥山貝塚公園,ｳﾊﾞﾔﾏｶｲﾂﾞｶｺｳｴﾝ,,,,,122033,,千葉県市川市柏井町1丁目1235,千葉県,市川市,柏井町1丁目,1235,,35.7373488,139.9653355,,,,,,,,,,,,
122033,,市川市,柏井市営住宅,ｶｼﾜｲｼｴｲｼﾞｭｳﾀｸ,,,,,122033,,千葉県市川市柏井町2丁目1358,千葉県,市川市,柏井町2丁目,1358,,35.73994769,139.9626201,,,,,,,,,,,,
122033,,市川市,福栄中学校,ﾌｸｴｲﾁｭｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市福栄3丁目4-1,千葉県,市川市,福栄3丁目,4-1,,35.67391336,139.9101519,,,,,,,,,,,,
122033,,市川市,第四中学校,ﾀﾞｲﾖﾝﾁｭｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市中山1丁目11-1,千葉県,市川市,中山1丁目,11-1,,35.72200047,139.9457125,,,,,,,,,,,,
122033,,市川市,第三中学校,ﾀﾞｲｻﾝﾁｭｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市曽谷3丁目2-1,千葉県,市川市,曽谷3丁目,2-1,,35.74033678,139.9325817,,,,,,,,,,,,
122033,,市川市,北方小学校,ｷﾀｶﾀｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市北方町4丁目1356-1,千葉県,市川市,北方町4丁目,1356-1,,35.73241156,139.9453845,,,,,,,,,,,,
122033,,市川市,東京歯科大学市川総合病院,ﾄｳｷｮｳｼｶﾀﾞｲｶﾞｸｲﾁｶﾜｿｳｺﾞｳﾋﾞｮｳｲﾝ,,,,,122033,,千葉県市川市菅野5丁目11-13,千葉県,市川市,菅野5丁目,11-13,,35.7335845,139.9224139,,,,,,,,,,,,
122033,,市川市,市川クリニック,ｲﾁｶﾜｸﾘﾆｯｸ,,,,,122033,,千葉県市川市平田1丁目1７-19,千葉県,市川市,平田1丁目,1７-19,,35.72511311,139.9204589,,,,,,,,,,,,
122033,,市川市,大洲防災公園,ｵｵｽﾎﾞｳｻｲｺｳｴﾝ,,,,,122033,,千葉県市川市大洲1丁目18,千葉県,市川市,大洲1丁目,18,,35.71851334,139.909841,,,,,,,,,,,,
122033,,市川市,広尾防災倉庫,ﾋﾛｵﾎﾞｳｻｲｺｳｴﾝ,,,,,122033,,千葉県市川市広尾2丁目3-2,千葉県,市川市,広尾2丁目,3-2,,35.67872549,139.889396,,,,,,,,,,,,
122033,,市川市,曽谷小学校,ｿﾔｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市曽谷7丁目18-1,千葉県,市川市,曽谷7丁目,18-1,,35.74682308,139.9268273,,,,,,,,,,,,
