全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
122033,,市川市,アンデルセン幼稚園,ｱﾝﾃﾞﾙｾﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市堀之内1丁目9-17,千葉県,市川市,堀之内1丁目,9-17,,35.75611894,139.9179131,,,,,(047)374-1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://andersen-kindergarten.com/,,,427
122033,,市川市,若宮幼稚園,ﾜｶﾐﾔﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市若宮3丁目53-4,千葉県,市川市,若宮3丁目,53-4,,35.72697185,139.9534368,,,,,(047)339-2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-wakamiya-kg.jimdofree.com/,,,417
122033,,市川市,富貴島幼稚園,ﾌｷｼﾏﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市八幡6丁目12-12,千葉県,市川市,八幡6丁目,12-12,,35.72799194,139.9364769,,,,,(047)334-4860,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://fukishima.jp/top.html,,,410
122033,,市川市,自然幼稚園,ｼｾﾞﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市市川1丁目24-21,千葉県,市川市,市川1丁目,24-21,,35.73045918,139.9103596,,,,,(047)322-4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawashizen.wixsite.com/osanagononiwa,,,400
122033,,市川市,和光幼稚園,ﾜｺｳﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市相之川2丁目12-28,千葉県,市川市,相之川2丁目,12-28,,35.67856271,139.8959189,,,,,(047)316-1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ichikawa-wako.com/,,,401
122033,,市川市,信篤幼稚園,ｼﾝﾄｸﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市高谷1丁目8-1,千葉県,市川市,高谷1丁目,8-1,,35.70208378,139.9417121,,,,,(047)328-2325,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000014.html,,,392
122033,,市川市,大洲幼稚園,ｵｵｽﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市大洲4丁目3-12,千葉県,市川市,大洲4丁目,3-12,,35.72102686,139.9096322,,,,,(047)370-3648,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000012.html,,,394
122033,,市川市,南行徳幼稚園,ﾐﾅﾐｷﾞｮｳﾄｸﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市欠真間1丁目6-15,千葉県,市川市,欠真間1丁目,6-15,,35.67951768,139.9007408,,,,,(047)358-5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000017.html,,,395
122033,,市川市,百合台幼稚園,ﾕﾘﾀﾞｲﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市曽谷6丁目10-1,千葉県,市川市,曽谷6丁目,10-1,,35.74038914,139.9256261,,,,,(047)373-8937,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000013.html,,,396
122033,,市川市,新浜幼稚園,ﾆｲﾊﾏﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市行徳駅前4丁目5-2,千葉県,市川市,行徳駅前4丁目,5-2,,35.67979309,139.9169214,,,,,(047)396-2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000016.html,,,397
