データセット_ID,全国地方公共団体コード,地方公共団体名,データセット_タイトル,データセット_サブタイトル,データセット_概要,データセット_キーワード,データセット_分類,データセット_ユニバーサルメニュー,データセット_公開日,データセット_最終更新日,データセット_バージョン,データセット_言語,データセット_URL,データセット_更新頻度,データセット_準拠する標準,データセット_関連ドキュメント,データセット_来歴情報,データセット_対象地域,データセット_対象期間,データセット_連絡先名称,データセット_連絡先メールアドレス,データセット_連絡先電話番号,データセット_連絡先内線番号,データセット_連絡先FormURL,データセット_連絡先備考（その他、SNSなど）,データセット_備考,ファイル_タイトル,ファイル_アクセスURL,ファイル_ダウンロードURL,ファイル_説明,ファイル形式,ファイル_ライセンス,ファイル_ステータス,ファイル_サイズ,ファイル_公開日,ファイル_最終更新日,ファイル_利用規約,ファイル_関連ドキュメント,ファイル_言語,ファイル_準拠する標準,ファイル_API対応有無
MM0000000101,122033,市川市,公共施設一覧,,,,行財政,,,2022-06-01,,,,,,,,,,,,,,,,,122033_101_public_facility,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000102,122033,市川市,文化財一覧,,,,教育・文化・スポーツ・生活,,,2022-06-01,,,,,,,,,,,,,,,,,122033_102_cultural_property,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000103,122033,市川市,指定緊急避難場所一覧,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_103_evacuation_space,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000104,122033,市川市,地域・年齢別人口,,,,人口・世帯,,,2022-06-01,,,,,,,,,,,,,,,,,122033_104_population,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000105,122033,市川市,子育て施設一覧,,,,教育・文化・スポーツ・生活,,,2022-06-01,,,,,,,,,,,,,,,,,122033_105_preschool,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000106,122033,市川市,オープンデータ一覧,,,,その他,,,2022-06-01,,,,,,,,,,,,,,,,,122033_106_open_data_list,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000107,122033,市川市,公衆無線LANアクセスポイント一覧,,,,情報通信・科学技術,,,2022-06-01,,,,,,,,,,,,,,,,,122033_107_public_wireless_lan,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000108,122033,市川市,AED設置箇所一覧,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_108_aed,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000109,122033,市川市,介護サービス事業所一覧,,,,社会保障・衛生,,,2022-06-01,,,,,,,,,,,,,,,,,122033_109_care_service,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000201,122033,市川市,多機能トイレ,,,,社会保障・衛生,,,2022-06-01,,,,,,,,,,,,,,,,,122033_201_multipurpose_toilet,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000202,122033,市川市,広報いちかわ配布場所,,,,行財政,,,2022-06-01,,,,,,,,,,,,,,,,,122033_202_kohoichikwa,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000203,122033,市川市,図書返却ポスト,,,,教育・文化・スポーツ・生活,,,2022-06-01,,,,,,,,,,,,,,,,,122033_203_book_drop,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000204,122033,市川市,自動車図書館ステーション,,,,教育・文化・スポーツ・生活,,,2022-06-01,,,,,,,,,,,,,,,,,122033_204_mobile_library,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000205,122033,市川市,投票所,,,,行財政,,,2022-06-01,,,,,,,,,,,,,,,,,122033_205_polling_place,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000206,122033,市川市,帰宅困難者支援ステーション,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_206_kitaku_konnan,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000207,122033,市川市,防災用井戸,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_207_well_for_disaster,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000208,122033,市川市,医療救護所,,,,社会保障・衛生,,,2022-06-01,,,,,,,,,,,,,,,,,122033_208_medical_aid_station,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000209,122033,市川市,景観100選,,,,運輸・観光,,,2022-06-01,,,,,,,,,,,,,,,,,122033_209_100_best_landscapes,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000210,122033,市川市,桜マップ,,,,運輸・観光,,,2022-06-01,,,,,,,,,,,,,,,,,122033_210_sakura_map,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000211,122033,市川市,まごころ道路,,,,運輸・観光,,,2022-06-01,,,,,,,,,,,,,,,,,122033_211_magokoro_road,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000212,122033,市川市,街頭防犯カメラ,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_212_security_camera,,,,csv,,,,2022-09-01,2022-06-01,,,,,
MM0000000213,122033,市川市,都市公園・都市緑地一覧,,,,住宅・土地・建設,,,2022-03-31,,,,,,,,,,,,,,,,,122033_213_park_green_space,,,,csv,,,,2022-09-01,2022-03-31,,,,,
MM0000000301,122033,市川市,路上禁煙地区,,,,社会保障・衛生,,,2022-06-01,,,,,,,,,,,,,,,,,122033_301_non_smoking_area,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000302,122033,市川市,液状化危険度,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_302_ekijoka,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000303,122033,市川市,負傷者密度,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_303_fushosya_mitsudo,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000304,122033,市川市,水道管被害危険度,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_304_suidokanhigai,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000305,122033,市川市,ガス管被害危険度,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_305_gasukanhigai,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000306,122033,市川市,電柱被害危険度, ,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_306_denchuhigai,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000307,122033,市川市,想定震度分布図（安政江戸地震）,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_307_shindo_ansei,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000308,122033,市川市,想定震度分布図（茨城県沖地震）,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_308_shindo_ibaragi,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000309,122033,市川市,想定震度分布図（千葉県東方沖地震）,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_309_shindo_chibatoho,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000310,122033,市川市,想定震度分布図（千葉県北西部地震）,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_310_shindo_chibahokusei,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000311,122033,市川市,想定震度分布図（東京湾北部地震）,,,,司法・安全・環境,,,2022-06-01,,,,,,,,,,,,,,,,,122033_311_tokyowanhokubu,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000312,122033,市川市,通学路地図,,,,教育・文化・スポーツ・生活,,,2022-06-01,,,,,,,,,,,,,,,,,122033_312_school_route_map,,,,shp,,,,2022-09-01,2022-06-01,,,,,
MM0000000401,122033,市川市,北東部ルートのバス停,,,,運輸・観光,,,2022-06-01,,,,,,,,,,,,,,,,,122033_401_bus_stop_northeast_gtfs,,,,zip,,,,2022-09-01,2022-06-01,,,,,
MM0000000402,122033,市川市,南部ルートのバス停,,,,運輸・観光,,,2022-06-01,,,,,,,,,,,,,,,,外部リンク,122033_402_bus_stop_south,,,,zip,,,,2022-09-01,2022-06-01,,,,,
