全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
122033,,,市川市,第1庁舎,ダイ１チョウシャ,,,,千葉県市川市八幡1丁目1-1,千葉県,市川市,八幡1丁目,1-1,,35.72178078,139.9310008,,(047)712-8569,,,,,272-8501,,,,
122033,,,市川市,第2庁舎,ダイ２チョウシャ,,,,千葉県市川市南八幡2丁目20-2,千葉県,市川市,南八幡2丁目,20-2,,35.71360134,139.9280068,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,行徳支所,ギョウトクシショ,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,35.68580724,139.9162673,,(047)712-8569,,,,,272-0192,,,,
122033,,,市川市,南行徳市民センター,ミナミギョウトクシミンセンター,,,,千葉県市川市南行徳1丁目21-1,千葉県,市川市,南行徳1丁目,21-1,,35.67163233,139.901369,,(047)712-8569,,,,,272-0138,,,,
122033,,,市川市,大柏出張所,オオガシワシュッチョウジョ,,,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3-19,,35.7453302,139.953297,,(047)712-8569,,,,,272-0804,,,,
122033,,,市川市,いちかわ情報プラザ,イチカワジョウホウプラザ,,,,千葉県市川市南八幡4丁目2-5,千葉県,市川市,南八幡4丁目,2-5,,35.72053885,139.9266853,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,市川駅行政サービスセンター,イチカワエキギョウセイサービスセンター,,,,千葉県市川市市川南1丁目1-1,千葉県,市川市,市川南1丁目,1-1,,35.72853397,139.9080647,,(047)712-8569,,,,,272-0033,,,,
122033,,,市川市,男女共同参画センター,ダンジョキョウドウサンカクセンター,,,,千葉県市川市市川1丁目24-2,千葉県,市川市,市川1丁目,24-2,,35.73010571,139.9104419,,(047)712-8569,,,,,272-0034,,,,
122033,,,市川市,アイ・リンクタウン展望施設,アイリンクタウンテンボウシセツ,,,,千葉県市川市市川南1丁目10-1,千葉県,市川市,市川南1丁目,10-1,,35.72898717,139.9064899,,(047)712-8569,,,,,,,,,
122033,,,市川市,勤労福祉センター本館,キンロウフクシセンターホンカン,,,,千葉県市川市南八幡2丁目20-1,千葉県,市川市,南八幡2丁目,20-1,,35.71375796,139.9273398,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,勤労福祉センター分館,キンロウフクシセンターブンカン,,,,千葉県市川市南八幡5丁目20-3,千葉県,市川市,南八幡5丁目,20-3,,35.71884342,139.9211041,,(047)712-8569,,,,,272-0023,,,,
