全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
122033,,,中山デイサービスセンター,ナカヤマデイサービスセンター,,通所介護,,,千葉県市川市中山1丁目2-1,千葉県,市川市,中山1丁目,2-1,,35.72111095,139.9427638,,,(047)335-7361,,(047)335-7362,,,,,3040005004064,社会福祉法人　市川朝日会,,月火水木金,祝日除く,19,,,,
122033,,,南八幡デイサービスセンター,ミナミヤワタデイサービスセンター,,通所介護/認知症対応型通所介護,,,千葉県市川市南八幡5丁目20-3,千葉県,市川市,南八幡5丁目,20-3,,35.7188291,139.9211187,,,(047)378-3811,,(047)378-3814,,,,,5040005004062,社会福祉法人　慶美会,,月火水木金土,,40/12,,,,
122033,,,国府台デイサービスセンター,コウノダイデイサービスセンター,,通所介護,,,千葉県市川市国府台5丁目25-4,千葉県,市川市,国府台5丁目,25-4,,35.75369717,139.902344,,,(047)375-0853,,(047)375-0856,,,,,3040005004064,社会福祉法人　市川朝日会,,月火水木金,祝日除く,25,,,,
122033,,,柏井デイサービスセンター,カシワイデイサービスセンター,,通所介護/認知症対応型通所介護,,,千葉県市川市柏井町4丁目229-4,千葉県,市川市,柏井町4丁目,229-4,,35.75140026,139.9647031,,,(047)320-7113,,(047)339-7518,,,,,5040005004062,社会福祉法人　慶美会,,月火水木金日,,40/12,,,,
122033,,,大洲デイサービスセンター,オオスデイサービスセンター,,通所介護/認知症対応型通所介護,,,千葉県市川市大洲1丁目18-1,千葉県,市川市,大洲1丁目,18-1,,35.71792414,139.9108997,,,(047)300-8115,,(047)300-8150,,,,,5040005004062,社会福祉法人　慶美会,,月火水木金土,,25/12,,,,
122033,,,レガーレ市川,レガーレイチカワ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町4丁目315-1,千葉県,市川市,柏井町4丁目,315-1,,35.75375928,139.973425,,,(047)303-7700,,,,,,,5040005004062,社会福祉法人　慶美会,,,,150,,,,
122033,,,清山荘,セイザンソウ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町4丁目314,千葉県,市川市,柏井町4丁目,314,,35.75268209,139.9733792,,,(047)337-1231,,,,,,,5040005004062,社会福祉法人　慶美会,,,,100,,,,
122033,,,ホワイト市川,ホワイトイチカワ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市高谷1854,千葉県,市川市,高谷,1854,,35.69235734,139.9448935,,,(047)327-3311,,,,,,,4040005004063,社会福祉法人　市川会,,,,88,,,,
122033,,,市川あさひ荘,イチカワアサヒソウ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市大町53７,千葉県,市川市,大町,53７,,35.7604456,139.9535751,,,(047)337-6565,,,,,,,3040005004064,社会福祉法人　市川朝日会,,,,104,,,,
122033,,,ナーシングホーム市川,ナーシングホームイチカワ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町4丁目310,千葉県,市川市,柏井町4丁目,310,,35.75375595,139.9732129,,,(047)339-5600,,,,,,,5040005004062,社会福祉法人　慶美会,,,,60,,,,
122033,,,太陽と緑の家,タイヨウトミドリノイエ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市大町552,千葉県,市川市,大町,552,,35.76330634,139.9519382,,,(047)303-7881,,,,,,,6110005010151,社会福祉法人　松涛会,,,,90,,,,
122033,,,やわらぎの郷,ヤワラギノサト,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市大町438-2,千葉県,市川市,大町,438-2,,35.76560382,139.9581343,,,(047)337-6121,,,,,,,5040005004434,社会福祉法人　幸志会,,,,68,,,,
122033,,,市川ヒルズ,イチカワヒルズ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町4丁目312,千葉県,市川市,柏井町4丁目,312,,35.75268073,139.97411,,,(047)337-9888,,,,,,,5040005004062,社会福祉法人　慶美会,,,,100,,,,
122033,,,広尾苑,ヒロオエン,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市広尾2丁目3-1,千葉県,市川市,広尾2丁目,3-1,,35.6795142,139.8903391,,,(047)390-2727,,,,,,,2040005002291,社会福祉法人　天祐会,,,,50,,,,
122033,,,いちかわ翔裕園,イチカワショウユウエン,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町1丁目1076,千葉県,市川市,柏井町1丁目,1076,,35.74099219,139.9715065,,,(047)303-5525,,,,,,,9040005004331,社会福祉法人　長寿の里,,,,100,,,,
122033,,,サンライズ市川,サンライズイチカワ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市大町79-2,千葉県,市川市,大町,79-2,,35.76927821,139.9587501,,,(047)303-6539,,,,,,,3040005004064,社会福祉法人　市川朝日会,,,,100,,,,
122033,,,市川三愛,イチカワサンアイ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町2丁目727,千葉県,市川市,柏井町2丁目,727,,35.74306749,139.965895,,,(047)303-6006,,,,,,,7040005004390,社会福祉法人　三愛,,,,100,,,,
122033,,,親愛の丘市川,シンアイノオカイチカワ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市原木4丁目10-20,千葉県,市川市,原木4丁目,10-20,,35.69880085,139.9512715,,,(047)712-5667,,,,,,,7040005005802,社会福祉法人　親愛会,,,,100,,,,
122033,,,なごみ,ナゴミ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市大町442,千葉県,市川市,大町,442,,35.76557977,139.9577611,,,(047)303-8515,,,,,,,5040005004434,社会福祉法人　幸志会,,,,100,,,,
122033,,,タムスさくらの杜市川,タムスサクラノモリイチカワ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市高谷3丁目1-1,千葉県,市川市,高谷3丁目,1-1,,35.69761295,139.9410669,,,(047)314-8303,,,,,,,8030005012781,社会福祉法人　桐和会,,,,100,,,,
122033,,,華つばき,ハナツバキ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市原木2丁目10-42,千葉県,市川市,原木2丁目,10-42,,35.69890405,139.9452297,,,(047)702-5512,,,,,,,7270005003873,社会福祉法人　日翔会,,,,100,,,,
122033,,,市川ひかり,イチカワヒカリ,,介護老人福祉施設（特別養護老人ホーム）,,,千葉県市川市柏井町4丁目417-4,千葉県,市川市,柏井町4丁目,417-4,,35.751427,139.969101,,,(047)700-5256,,,,,,,3040005004386,社会福祉法人　創誠会,,,,100,,,,
122033,,,サンシルバー市川,サンシルバーイチカワ,,介護老人保健施設（老健）,,,千葉県市川市北方町4丁目1460,千葉県,市川市,北方町4丁目,1460,,35.73828366,139.9541079,,,(047)303-5533,,,,,,,5040005003956,医療法人社団　静和会,,,,130,,,,
122033,,,市川ゆうゆう,イチカワユウユウ,,介護老人保健施設（老健）,,,千葉県市川市柏井町4丁目229-4,千葉県,市川市,柏井町4丁目,229-4,,35.75136095,139.9646694,,,(047)338-1910,,,,,,,2010005014562,公益社団法人　地域医療振興協会,,,,150,,,,
122033,,,ハートケア市川,ハートケアイチカワ,,介護老人保健施設（老健）,,,千葉県市川市奉免町59-2,千葉県,市川市,奉免町,59-2,,35.74318995,139.9571368,,,(047)303-8222,,,,,,,2010505000616,医療法人社団　哺育会,,,,120,,,,
122033,,,サンセール市川,サンセールイチカワ,,介護老人保健施設（老健）,,,千葉県市川市原木2丁目13-8,千葉県,市川市,原木2丁目,13-8,,35.69859071,139.9433801,,,(047)325-9367,,,,,,,8040005016170,医療法人社団　寿光会,,,,100,,,,
122033,,,葵の園・市川,アオイノソノ・イチカワ,,介護老人保健施設（老健）,,,千葉県市川市大野町3丁目2128-1,千葉県,市川市,大野町3丁目,2128-1,,35.75035742,139.958758,,,(047)303-7001,,,,,,,1010005004837,医療法人社団　葵会,,,,100,,,,
122033,,,グレースケア市川,グレースケアイチカワ,,介護老人保健施設（老健）,,,千葉県市川市大町43-3,千葉県,市川市,大町,43-3,,35.76977529,139.9538876,,,(047)303-8883,,,,,,,6011705000451,医療法人社団　泰正会,,,,100,,,,
122033,,,エスポワール市川,エスポワールイチカワ,,介護老人保健施設（老健）,,,千葉県市川市高谷3丁目1-20,千葉県,市川市,高谷3丁目,1-20,,35.69737394,139.9418096,,,(047)329-6087,,,,,,,8040005016170,医療法人社団　寿光会,,,,100,,,,
122033,,,市川あさひ荘,イチカワアサヒソウ,,介護老人保健施設（老健）,,,千葉県市川市大町537-10,千葉県,市川市,大町,537-10,,35.76094472,139.9537363,,,(047)339-6541,,,,,,,3040005004064,社会福祉法人　市川朝日会,,,,100,,,,
122033,,,らいおんハート,ライオンハート,,介護老人保健施設（老健）,,,千葉県市川市柏井町4丁目296-2,千葉県,市川市,柏井町4丁目,296-2,,35.7540338,139.971469,,,(047)303-7711,,,,,,,9040005004612,医療社団法人　緑友会,,,,100,,,,
122033,,,ケアハウスユリダイ,ケアハウスユリダイ,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,,,千葉県市川市曽谷5丁目27-3,千葉県,市川市,曽谷5丁目,27-3,,35.74932807,139.9264774,,,(047)372-1880,,,,,,,3040005004056,社会福祉法人　七和福祉会,,,,33,,,,
122033,,,ケアハウス市川,ケアハウスイチカワ,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,,,千葉県市川市柏井町4丁目306-1,千葉県,市川市,柏井町4丁目,306-1,,35.75368713,139.9725494,,,(047)339-6222,,,,,,,5040005004062,社会福祉法人　慶美会,,,,50,,,,
122033,,,曽谷カネヅカケアハウス,ソヤカネヅカケアハウス,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,,,千葉県市川市曽谷2丁目26-3,千葉県,市川市,曽谷2丁目,26-3,,35.74761962,139.9368008,,,(047)375-6101,,,,,,,3080405006813,社会福祉法人　青風会,,,,50,,,,
122033,,,三愛ケアハウス,サンアイケアハウス,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,,,千葉県市川市柏井町3丁目650,千葉県,市川市,柏井町3丁目,650,,35.74567186,139.9641928,,,(047)300-6001,,,,,,,7040005004390,社会福祉法人　三愛,,,,50,,,,
122033,,,行徳ケアハウス翔裕園,ギョウトクケアハウスショウユウエン,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,,,千葉県市川市末広1丁目1-48,千葉県,市川市,末広1丁目,1-48,,35.68614368,139.9166026,,,(047)701-6630,,,,,,,9040005004331,社会福祉法人　長寿の里,,,,50,,,,
122033,,,市川市高齢者サポートセンター国府台,イチカワシコウレイシャサポートセンターコウノダイ,,,,,千葉県市川市国府台5丁目25-4,千葉県,市川市,国府台5丁目,25-4,,35.7535509,139.9035355,,,(047)373-6539,,(047)375-0856,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター国分,イチカワシコウレイシャサポートセンターコクブン,,,,,千葉県市川市東国分1丁目27-18,千葉県,市川市,東国分1丁目,27-18,,35.74424816,139.9213109,,,(047)318-5565,,(047)318-5567,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター曽谷,イチカワシコウレイシャサポートセンターソヤ,,,,,千葉県市川市曽谷5丁目13-4,千葉県,市川市,曽谷5丁目,13-4,,35.74661295,139.9280212,,,(047)371-6161,,(047)371-6162,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター大柏,イチカワシコウレイシャサポートセンターオオガシワ,,,,,千葉県市川市大町53７,千葉県,市川市,大町,53７,,35.7604456,139.9535751,,,(047)338-6595,,(047)337-6667,,,,,,,,,,,,,,
122033,,,市川市高齢者サポートセンター大柏（大柏出張所内）,イチカワシコウレイシャサポートセンターオオガシワ（オオガシワシュッチョウジョナイ）,,,,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3-19,,35.7453576,139.9533187,,,(047)303-9555,,(047)339-7011,,,,,,,,,,,,,,
