全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
122033,,市川市,南行徳図書館,ﾐﾅﾐｷﾞｮｳﾄｸﾄｼｮｶﾝ,,,,千葉県市川市相之川1丁目2-4,千葉県,市川市,相之川1丁目,2-4,,,35.68086983,139.8999181,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,南行徳公民館、相之川こども館,ﾐﾅﾐｷﾞｮｳﾄｸｺｳﾐﾝｶﾝ・ｱｲﾉｶﾜｺﾄﾞﾓｶﾝ,,,,千葉県市川市相之川1丁目3-7,千葉県,市川市,相之川1丁目,3-7,,,35.68023456,139.8991086,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,男女共同参画ｾﾝﾀｰｳｨｽﾞ,ﾀﾞﾝｼﾞｮｷｮｳﾄﾞｳｻﾝｶｸｾﾝﾀｰｳｨｽﾞ,,,,千葉県市川市市川1丁目24-2,千葉県,市川市,市川1丁目,24-2,,,35.73010224,139.9104485,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,市川公民館,ｲﾁｶﾜｺｳﾐﾝｶﾝ,,,,千葉県市川市市川2丁目33-2,千葉県,市川市,市川2丁目,33-2,,,35.73105825,139.9066028,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,市川駅南口図書館、アイ・リンクタウン展望施設,ｲﾁｶﾜｴｷﾐﾅﾐｸﾞﾁﾄｼｮｶﾝ、ｱｲ・ﾘﾝｸﾀｳﾝﾃﾝﾎﾞｳｼｾﾂ,,,,千葉県市川市市川南1丁目10-1,千葉県,市川市,市川南1丁目,10-1,,,35.72908888,139.9059087,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,市川駅行政サービスセンター,ｲﾁｶﾜｴｷｷﾞｮｳｾｲｻｰﾋﾞｽｾﾝﾀｰ,,,,千葉県市川市市川南1丁目1-1ザタワーズイースト3階,千葉県,市川市,市川南1丁目,1-1,ザタワーズイースト3階,,35.72853397,139.9080647,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,市川駅南公民館、こども発達センター、大洲こども館、いきいきセンター大洲(老人福祉センター),ｲﾁｶﾜｴｷﾐﾅﾐｺｳﾐﾝｶﾝ、ｺﾄﾞﾓﾊｯﾀﾂｾﾝﾀｰ、ｵｵｽｺﾄﾞﾓｶﾝ、ｲｷｲｷｾﾝﾀｰｵｳｽ,,,,千葉県市川市大洲4丁目18-3,千葉県,市川市,大洲4丁目,18-3,,,35.72270824,139.9064771,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,少年自然の家,ｼｮｳﾈﾝｼｾﾞﾝﾉｲｴ,,,,千葉県市川市大町280-4,千葉県,市川市,大町,280-4,,,35.76604163,139.9662082,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,市川自然博物館,ｲﾁｶﾜｼｾﾞﾝﾊｸﾌﾞﾂｶﾝ,,,,千葉県市川市大町284,千葉県,市川市,大町,284,,,35.76429455,139.9659541,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,動植物園,ﾄﾞｳｼｮｸﾌﾞﾂｴﾝ,,,,千葉県市川市大町284,千葉県,市川市,大町,284,,,35.76501965,139.9653094,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,文化会館,ﾌﾞﾝｶｶｲｶﾝ,,,,千葉県市川市大和田1丁目1-5,千葉県,市川市,大和田1丁目,1-5,,,35.71676693,139.9210561,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,いきいきセンター鬼越（鬼越老人いこいの家）,ｲｷｲｷｾﾝﾀｰｵﾆｺﾞｴ,,,,千葉県市川市鬼越1丁目25-3,千葉県,市川市,鬼越1丁目,25-3,,,35.7202902,139.9386437,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,生涯学習ｾﾝﾀｰ、中央図書館、中央こども館、文学ミュージアム,ｼｮｳｶﾞｲｶﾞｸｼｭｳｾﾝﾀｰ、ﾁｭｳｵｳﾄｼｮｶﾝ、ﾁｭｳｵｳｺﾄﾞﾓｶﾝ、ﾌﾞﾝｶﾞｸﾐｭｰｼﾞｱﾑ,,,,千葉県市川市鬼高1丁目1-4,千葉県,市川市,鬼高1丁目,1-4,,,35.71590892,139.9321502,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,いきいきセンター南行徳（南行徳デイサービスセンター併設）,ｲｷｲｷｾﾝﾀｰﾐﾅﾐｷﾞｮｳﾄｸ,,,,千葉県市川市香取1丁目17-18,千葉県,市川市,香取1丁目,17-18,,,35.68225971,139.90328,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,いきいきセンター北方（北方老人いこいの家）,ｲｷｲｷｾﾝﾀｰｷﾀｶﾀ,,,,千葉県市川市北方2丁目29-19,千葉県,市川市,北方2丁目,29-19,,,35.7254098,139.9410599,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,市民プール,ｼﾐﾝﾌﾟｰﾙ,,,,千葉県市川市北方町4丁目2270-3,千葉県,市川市,北方町4丁目,2270-3,,,35.73504656,139.9534251,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,ｽﾎﾟｰﾂｾﾝﾀｰ（国府台市民体育館）,ｽﾎﾟｰﾂｾﾝﾀｰ,,,,千葉県市川市国府台1丁目6-4,千葉県,市川市,国府台1丁目,6-4,,,35.7430337,139.9073919,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,信篤公民館、信篤こども館,ｼﾝﾄｸｺｳﾐﾝｶﾝ、ｼﾝﾄｸｺﾄﾞﾓｶﾝ,,,,千葉県市川市高谷1丁目8-1,千葉県,市川市,高谷1丁目,8-1,,,35.70171857,139.9418124,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,信篤市民体育館,ｼﾝﾄｸｼﾐﾝﾀｲｲｸｶﾝ,,,,千葉県市川市高谷1丁目8-2,千葉県,市川市,高谷1丁目,8-2,,,35.70169648,139.9422459,,,,,,,,,,,,,,無,無,無,,,,,,
122033,,市川市,幸公民館,ｻｲﾜｲｺｳﾐﾝｶﾝ,,,,千葉県市川市幸1丁目16-18,千葉県,市川市,幸1丁目,16-18,,,35.68032781,139.927842,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,斎場塩浜式場,ｻｲｼﾞｮｳｼｵﾊﾏｼｷｼﾞｮｳ,,,,千葉県市川市塩浜2丁目1-7,千葉県,市川市,塩浜2丁目,1-7,,,35.662619,139.9214652,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,塩浜市民体育館,ｼｵﾊﾏｼﾐﾝﾀｲｲｸｶﾝ,,,,千葉県市川市塩浜4丁目9-1,千葉県,市川市,塩浜4丁目,9-1,,,35.66095371,139.9145427,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,行徳支所、行徳公民館、末広こども館、ボランティア・ＮＰＯ活動ｾﾝﾀｰ行徳,ｷﾞｮｳﾄｸｼｼｮ、ｷﾞｮｳﾄｸｺｳﾐﾝｶﾝ、ｽｴﾋﾛｺﾄﾞﾓｶﾝ、ﾎﾞﾗﾝﾃｨｱｴﾇﾋﾟｰｵｰｶﾂﾄﾞｳｾﾝﾀｰｷﾞｮｳﾄｸ,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,,35.68571127,139.9163862,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,行徳図書館,ｷﾞｮｳﾄｸﾄｼｮｶﾝ,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,,35.68528891,139.9167322,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,行徳文化ホールＩ＆Ｉ,ｷﾞｮｳﾄｸﾌﾞﾝｶﾎｰﾙｱｲｱﾝﾄﾞｱｲ,,,,千葉県市川市末広1丁目1-48,千葉県,市川市,末広1丁目,1-48,,,35.68612816,139.916576,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,菅野公民館,ｽｶﾞﾉｺｳﾐﾝｶﾝ,,,,千葉県市川市菅野3丁目24-2,千葉県,市川市,菅野3丁目,24-2,,,35.73262516,139.9168905,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,曽谷公民館、曽谷こども館,ｿﾔｺｳﾐﾝｶﾝ、ｿﾔｺﾄﾞﾓｶﾝ,,,,千葉県市川市曽谷6丁目25-5,千葉県,市川市,曽谷6丁目,25-5,,,35.74372289,139.9275258,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,田尻こども館、いきいきセンター田尻(老人いこいの家）,ﾀｼﾞﾘｺﾄﾞﾓｶﾝ、ｲｷｲｷｾﾝﾀｰﾀｼﾞﾘ,,,,千葉県市川市田尻4丁目13-3,千葉県,市川市,田尻4丁目,13-3,,,35.70331743,139.9344182,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,西部公民館、中国分こども館,ｾｲﾌﾞｺｳﾐﾝｶﾝ、ﾅｶｺｸﾌﾞﾝｺﾄﾞﾓｶﾝ,,,,千葉県市川市中国分2丁目13-8,千葉県,市川市,中国分2丁目,13-8,,,35.74936033,139.9133081,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,東山魁夷記念館,ﾋｶﾞｼﾔﾏｶｲｷﾈﾝｶﾝ,,,,千葉県市川市中山1丁目16-2,千葉県,市川市,中山1丁目,16-2,,,35.7228432,139.9464399,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,広尾防災公園,ﾋﾛｵﾎﾞｳｻｲｺｳｴﾝ,,,,千葉県市川市広尾2丁目3-2,千葉県,市川市,広尾2丁目,3-2,,,35.67876171,139.8893205,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,福栄スポーツ広場,ﾌｸｴｲｽﾎﾟｰﾂﾋﾛﾊﾞ,,,,千葉県市川市福栄4丁目32-4,千葉県,市川市,福栄4丁目,32-4,,,35.6666238,139.9120423,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,市川考古博物館,ｲﾁｶﾜｺｳｺﾊｸﾌﾞﾂｶﾝ,,,,千葉県市川市堀之内2丁目26-1,千葉県,市川市,堀之内2丁目,26-1,,,35.75907208,139.9120506,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,市川歴史博物館,ｲﾁｶﾜﾚｷｼﾊｸﾌﾞﾂｶﾝ,,,,千葉県市川市堀之内2丁目27-1,千葉県,市川市,堀之内2丁目,27-1,,,35.75984069,139.911528,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,本行徳公民館、本行徳こども館,ﾎﾝｷﾞｮｳﾄｸｺｳﾐﾝｶﾝ、ﾎﾝｷﾞｮｳﾄｸｺﾄﾞﾓｶﾝ,,,,千葉県市川市本行徳12-8,千葉県,市川市,本行徳,12-8,,,35.6945475,139.9182869,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,身体障害者福祉センター,ｼﾝﾀｲｼｮｳｶﾞｲｼｬﾌｸｼｾﾝﾀｰ,,,,千葉県市川市本行徳1-5-,千葉県,市川市,本行徳,1-5-,,,35.69619693,139.9192941,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,木内ギャラリー,ｷｳﾁｷﾞｬﾗﾘｰ,,,,千葉県市川市真間4丁目11-4,千葉県,市川市,真間4丁目,11-4,,,35.73996702,139.9054895,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,芳澤ガーデンギャラリー,ﾖｼｻﾞﾜｶﾞｰﾃﾞﾝｷﾞｬﾗﾘｰ,,,,千葉県市川市真間5丁目1-18,千葉県,市川市,真間5丁目,1-18,,,35.73980997,139.9114438,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,駅前公園,ｴｷﾏｴｺｳｴﾝ,,,,千葉県市川市湊新田2丁目4-,千葉県,市川市,湊新田2丁目,4-,,,35.67926255,139.9139363,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,大柏出張所、大野公民館,ｵｵｶﾞｼﾜｼｭｯﾁｮｳｼﾞｮ、ｵｵﾉｺｳﾐﾝｶﾝ,,,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3-19,,,35.74519962,139.9531862,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,南行徳市民センター、南行徳保健ｾﾝﾀｰ、南行徳市民談話室,ﾐﾅﾐｷﾞｮｳﾄｸｼﾐﾝｾﾝﾀｰ、ﾐﾅﾐｷﾞｮｳﾄｸｼﾐﾝｾﾝﾀｰ、ﾐﾅﾐｷﾞｮｳﾄｸｼﾐﾝﾀﾞﾝﾜｼﾂ,,,,千葉県市川市南行徳1丁目21-1,千葉県,市川市,南行徳1丁目,21-1,,,35.67162803,139.9013667,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,勤労福祉ｾﾝﾀｰ、南八幡こども館、いきいきセンター本館（老人いこいの家）,ｷﾝﾛｳﾌｸｼｾﾝﾀｰ、ﾐﾅﾐﾔﾜﾀｺﾄﾞﾓｶﾝ、ｲｷｲｷｾﾝﾀｰﾎﾝｶﾝ,,,,千葉県市川市南八幡2丁目20-1,千葉県,市川市,南八幡2丁目,20-1,,,35.71375078,139.9273734,,,,,,,,,,,,,,有,無,無,,,,,,
122033,,市川市,保健センター,ﾎｹﾝｾﾝﾀｰ,,,,千葉県市川市南八幡4丁目18-8,千葉県,市川市,南八幡4丁目,18-8,,,35.7174144,139.9239706,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,東部公民館、本北方こども館,ﾄｳﾌﾞｺｳﾐﾝｶﾝ、ﾓﾄｷﾀｶﾀｺﾄﾞﾓｶﾝ,,,,千葉県市川市本北方3丁目19-16,千葉県,市川市,本北方3丁目,19-16,,,35.72878302,139.9507812,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,市川市役所第１庁舎,ｲﾁｶﾜｼﾔｸｼｮ,,,,千葉県市川市八幡1丁目1-1,千葉県,市川市,八幡1丁目,1-1,,,35.72178808,139.9310096,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,消防局,ｼｮｳﾎﾞｳｷｮｸ,,,,千葉県市川市八幡1丁目8-1,千葉県,市川市,八幡1丁目,8-1,,,35.71947001,139.9346936,,,,,,,,,,,,,,有,有,無,,,,,,
122033,,市川市,市川市役所第２庁舎,ｲﾁｶﾜｼﾔｸｼｮﾀﾞｲﾆﾁｮｳｼｬ,,,,千葉県市川市南八幡2丁目20-２,千葉県,市川市,南八幡2丁目,20-２,,,35.71359836,139.9280029,,,,,,,,,,,,,,有,有,有,,,,,,
122033,,市川市,全日警ホール（市川市八幡市民会館,ｾﾞﾝﾆｯｹｲﾎｰﾙ・ｲﾁｶﾜｼﾔﾜﾀｼﾝｶｲｶﾝ,,,,千葉県市川市八幡4丁目2-1,千葉県,市川市,八幡4丁目2-1,,,,35.72354,139.931,,,,,,,,,,,,,,有,無,有,,,,,,
122033,,市川市,Ｊ：ＣＯＭ北市川スポーツパーク,ｼﾞｪｲｺﾑｷﾀｲﾁｶﾜｽﾎﾟｰﾂﾊﾟｰｸ,,,,千葉県市川市柏井町4丁目277-1,千葉県,市川市,柏井町4丁目277-1,,,,35.79359,139.967,,,,,,,,,,,,,,有,無,有,,,,,,
