全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,菅野公民館,ｽｶﾞﾉｺｳﾐﾝｶﾝ,,,,,122033,,千葉県市川市菅野3丁目24-2,千葉県,市川市,菅野3丁目,24-2,,35.732658,139.916956,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,大野公民館(大柏出張所),ｵｵﾉｺｳﾐﾝｶﾝ(ｵｵｶﾞｼﾜｼｭｯﾁｮｳｼﾞｮ),,,,,122033,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3-19,,35.74531189,139.9532011,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,千葉商科大学付属図書館,ﾁﾊﾞｼｮｳｶﾀﾞｲｶﾞｸﾌｿﾞｸﾄｼｮｶﾝ,,,,,122033,,千葉県市川市国府台1丁目3－1,千葉県,市川市,国府台1丁目,3－1,,35.74190442,139.9087356,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,歴史博物館,ﾚｷｼﾊｸﾌﾞﾂｶﾝ,,,,,122033,,千葉県市川市堀之内2丁目27-1,千葉県,市川市,堀之内2丁目,27-1,,35.75984872,139.9115395,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,ベルクス市川堀之内店,ﾍﾞﾙｸｽｲﾁｶﾜﾎﾘﾉｳﾁﾃﾝ,,,,,122033,,千葉県市川市堀之内3丁目6-13,千葉県,市川市,堀之内3丁目,6-13,,35.76060481,139.9131767,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,いちかわ情報プラザ2階,ｲﾁｶﾜｼﾞｮｳﾎｳﾌﾟﾗｻﾞﾆｶｲ,,,,,122033,,千葉県市川市南八幡4丁目2-5,千葉県,市川市,南八幡4丁目,2-5,,35.72055489,139.9266064,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,市川市役所第一庁舎,ｲﾁｶﾜｼﾔｸｼｮﾀﾞｲｲﾁﾁｮｳｼｬ,,,,,122033,,千葉県市川市八幡1丁目1-1,千葉県,市川市,八幡1丁目,1-1,,35.72193242,139.9307573,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,中山窓口連絡所,ﾅｶﾔﾏﾏﾄﾞｸﾞﾁﾚﾝﾗｸｼﾞｮ,,,,,122033,,千葉県市川市中山4丁目14-1,千葉県,市川市,中山4丁目,14-1,,35.71728094,139.9459108,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,市川公民館,ｲﾁｶﾜｺｳﾐﾝｶﾝ,,,,,122033,,千葉県市川市市川2丁目33-2,千葉県,市川市,市川2丁目,33-2,,35.73103531,139.9066028,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,イオン市川妙典店,ｲｵﾝｲﾁｶﾜﾐｮｳﾃﾞﾝﾃﾝ,,,,,122033,,千葉県市川市妙典5丁目3-1,千葉県,市川市,妙典5丁目,3-1,,35.69260378,139.9284234,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,南行徳市民センター,ﾐﾅﾐｷﾞｮｳﾄｸｼﾐﾝｾﾝﾀｰ,,,,,122033,,千葉県市川市南行徳1丁目21-1,千葉県,市川市,南行徳1丁目,21-1,,35.67165964,139.9013564,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,塩浜市民体育館,ｼｵﾊﾏｼﾐﾝﾀｲｲｸｶﾝ,,,,,122033,,千葉県市川市塩浜4丁目9-1,千葉県,市川市,塩浜4丁目,9-1,,35.66118297,139.9147014,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,西部公民館,ｾｲﾌﾞｺｳﾐﾝｶﾝ,,,,,122033,,千葉県市川市中国分2丁目13-8,千葉県,市川市,中国分2丁目,13-8,,35.74937605,139.9133368,,,,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
122033,,市川市,柏井公民館,ｶｼﾜｲｺｳﾐﾝｶﾝ,,,,,122033,,千葉県市川市柏井町2丁目844,千葉県,市川市,柏井町2丁目,844,,35.74600287,139.9653991,,, ,,,,,,http://www.city.ichikawa.lg.jp/library/guide/1005.html,,,
