全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,市営大町第１団地,ｼｴｲｵｵﾏﾁﾀﾞｲｲﾁﾀﾞﾝﾁ,,,,,122033,,千葉県市川市大町95,千葉県,市川市,大町,95,,35.772665,139.957885,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4金曜　14：30～15：00
122033,,市川市,市営大町第２団地,ｼｴｲｵｵﾏﾁﾀﾞｲﾆﾀﾞﾝﾁ,,,,,122033,,千葉県市川市大町124,千葉県,市川市,大町,124,,35.774895,139.961545,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4水曜　13：30～14：00
122033,,市川市,いこい荘,ｲｺｲｿｳ,,,,,122033,,千葉県市川市大町521,千葉県,市川市,大町,521,,35.760055,139.953591,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3木曜　14：30～15：00
122033,,市川市,柏井小学校,ｶｼﾜｲｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市柏井町1丁目1149-1,千葉県,市川市,柏井町1丁目,1149-1,,35.737517,139.968748,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3水曜　14：30～15：00
122033,,市川市,大野小学校,ｵｵﾉｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市南大野1丁目42-1,千葉県,市川市,南大野1丁目,42-1,,35.742943,139.950899,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4金曜　15：20～16：00
122033,,市川市,宮久保小学校,ﾐﾔｸﾎﾞｼｮｳｶﾞｯｺｳ,,,,,122033,,千葉県市川市宮久保5丁目7-1,千葉県,市川市,宮久保5丁目,7-1,,35.736668,139.943779,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4水曜　14：30～15：00
122033,,市川市,若宮児童公園,ﾜｶﾐﾔｼﾞﾄﾞｳｺｳｴﾝ,,,,,122033,,千葉県市川市若宮3-20,千葉県,市川市,若宮,3-20,,35.724514,139.953427,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3水曜　13：30～14：00
122033,,市川市,北国分２丁目公園,ｷﾀｺｸﾌﾞﾝﾆﾁｮｳﾒｺｳｴﾝ,,,,,122033,,千葉県市川市北国分2-27,千葉県,市川市,北国分,2-27,,35.761767,139.906583,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4木曜　14：20～14：50
122033,,市川市,堀之内公園,ﾎﾘﾉｳﾁｺｳｴﾝ,,,,,122033,,千葉県市川市堀之内3-2,千葉県,市川市,堀之内,3-2,,35.761717,139.91539,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3金曜　13：30～14：00　第2・第4水曜　10：20～10：50
122033,,市川市,歴史博物館,ﾚｷｼﾊｸﾌﾞﾂｶﾝ,,,,,122033,,千葉県市川市堀之内2丁目27-1,千葉県,市川市,堀之内2丁目,27-1,,35.759598,139.9115,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4木曜　13：30～14：00
122033,,市川市,国府台児童公園,ｺｳﾉﾀﾞｲｼﾞﾄﾞｳｺｳｴﾝ,,,,,122033,,千葉県市川市国府台5-8,千葉県,市川市,国府台,5-8,,35.749219,139.904947,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4金曜　10：20～11：00
122033,,市川市,山王公園,ｻﾝﾉｳｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷5-16,千葉県,市川市,曽谷,5-16,,35.747738,139.928683,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第1・第3木曜　15：20～16：00
122033,,市川市,宮久保プレーパーク,ﾐﾔｸﾎﾞﾌﾟﾚｰﾊﾟｰｸ,,,,,122033,,千葉県市川市宮久保1丁目8-18,千葉県,市川市,宮久保1丁目,8-18,,35.736566,139.931307,,,047-320-3346,,,,,,https://www.city.ichikawa.lg.jp/library/guide/1006.html,,,第2・第4木曜　10：20～11：00
