全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,塩浜学園,シオハマガクエン,,,,,122033,,千葉県市川市塩浜4丁目5-1,千葉県,市川市,塩浜4丁目,5-1,,35.66471272,139.9147933,,,(047)397-4421,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,南行徳ハイツ自治会館,ミナミギョウトクハイツジチカイ,,,,,122033,,千葉県市川市南行徳3丁目7-3,千葉県,市川市,南行徳3丁目,7-3,,35.66757883,139.9039155,,,,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,新井地域ふれあい館,アライチイキフレアイカン,,,,,122033,,千葉県市川市新井3丁目31-1,千葉県,市川市,新井3丁目,31-1,,35.66979575,139.898744,,,(047)395-5019,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,新井小学校,アライショウガッコウ,,,,,122033,,千葉県市川市新井1丁目18-13,千葉県,市川市,新井1丁目,18-13,,35.67394669,139.8905166,,,(047)357-1722,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,広尾防災公園管理棟,ヒロオボウサイコウエンカンリトウ,,,,,122033,,千葉県市川市広尾2丁目3-2,千葉県,市川市,広尾2丁目,3-2,,35.67879369,139.8893295,,,(047)359-0155,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,南行徳公民館,ミナミギョウトクコウミンカン,,,,,122033,,千葉県市川市相之川1丁目3-7,千葉県,市川市,相之川1丁目,3-7,,35.68022789,139.899113,,,(047)356-7371,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,富美浜地域ふれあい館,フミハマチイキフレアイカン,,,,,122033,,千葉県市川市欠真間2丁目31-5,千葉県,市川市,欠真間2丁目,31-5,,35.67541344,139.9054941,,,(047)356-5844,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,富美浜小学校,フミハマショウガッコウ,,,,,122033,,千葉県市川市南行徳2丁目3-1,千葉県,市川市,南行徳2丁目,3-1,,35.671495,139.9052937,,,(047)396-2522,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,福栄中学校,フクエイチュウガッコウ,,,,,122033,,千葉県市川市福栄3丁目4-1,千葉県,市川市,福栄3丁目,4-1,,35.673886,139.9101037,,,(047)396-0701,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,香取地域ふれあい館,カンドリチイキフレアイカン,,,,,122033,,千葉県市川市香取2丁目19-1,千葉県,市川市,香取2丁目,19-1,,35.679101,139.9099381,,,(047)358-3854,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,南行徳小学校,ミナミギョウトクショウガッコウ,,,,,122033,,千葉県市川市欠真間1丁目6-38,千葉県,市川市,欠真間1丁目,6-38,,35.68037731,139.9016029,,,(047)357-3126,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,押切自治会館,オシキリジチカイカン,,,,,122033,,千葉県市川市押切6-6,千葉県,市川市,押切,6-6,,35.68558761,139.9123128,,,,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,新浜小学校,ニイハマショウガッコウ,,,,,122033,,千葉県市川市行徳駅前4丁目5-1,千葉県,市川市,行徳駅前4丁目,5-1,,35.68000753,139.9162687,,,(047)395-5331,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,南新浜小学校,ミナミニイハマショウガッコウ,,,,,122033,,千葉県市川市新浜1丁目26-1,千葉県,市川市,新浜1丁目,26-1,,35.67459847,139.9165661,,,(047)396-9731,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,行徳支所,ギョウトクシショ,,,,,122033,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,35.68571564,139.9163638,,,(047)359-1111,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,伊勢宿自治会館,イセジュクジチカイカン,,,,,122033,,千葉県市川市伊勢宿8丁目6,千葉県,市川市,伊勢宿8丁目,6,,35.68801542,139.9148567,,,,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,塩焼第二保育園,シオヤキダイニホイクエン,,,,,122033,,千葉県市川市塩焼3丁目11-15,千葉県,市川市,塩焼3丁目,11-15,,35.68535964,139.9245726,,,(047)395-5176,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,幸小学校,サイワイショウガッコウ,,,,,122033,,千葉県市川市幸1丁目11-1,千葉県,市川市,幸1丁目,11-1,,35.68101883,139.9300964,,,(047)396-0770,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,塩焼小学校,シオヤキショウガッコウ,,,,,122033,,千葉県市川市塩焼5丁目9-8,千葉県,市川市,塩焼5丁目,9-8,,35.68396611,139.9301302,,,(047)397-1231,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,妙典中学校,ミョウデンチュウガッコウ,,,,,122033,,千葉県市川市妙典5丁目22-1,千葉県,市川市,妙典5丁目,22-1,,35.68820014,139.9335269,,,(047)395-5811,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,行徳小学校,ギョウトクショウガッコウ,,,,,122033,,千葉県市川市富浜1丁目1-40,千葉県,市川市,富浜1丁目,1-40,,35.69260683,139.9232959,,,(047)357-3116,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
122033,,市川市,本行徳公民館,ホンギョウトクコウミンカン,,,,,122033,,千葉県市川市本行徳12-8,千葉県,市川市,本行徳,12-8,,35.69455314,139.9182408,,,(047)359-1351,,,,,,http://www.city.ichikawa.lg.jp/ele01/1551000002.html,,,
