全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,まごころ道路（宮久保5丁目16番地先）,,,,,,122033,,千葉県市川市宮久保5丁目16地先,千葉県,市川市,宮久保5丁目,16,地先,35.73786244,139.945491,,,,,,,,,,ATTACH/a92c63f6-711f-41b8-855e-cfc9e6140dc2.JPG,,
122033,,市川市,まごころ道路（宮久保6丁目21番地先（下貝塚中学校そば））,,,,,,122033,,千葉県市川市宮久保6丁目21地先,千葉県,市川市,宮久保6丁目,21,地先,35.73823206,139.945916,,,,,,,,,,ATTACH/9407243a-28dd-4d99-95df-9b2d382c45e7.JPG,,
122033,,市川市,まごころ道路（宮久保6丁目2番地先）,,,,,,122033,,千葉県市川市宮久保6丁目2地先,千葉県,市川市,宮久保6丁目,2,地先,35.73680275,139.9412823,,,,,,,,,,ATTACH/05dee5b9-ba7d-4bbf-bf6a-608b4d97af82.JPG,,
122033,,市川市,まごころ道路（国分3丁目22番地先）,,,,,,122033,,千葉県市川市国分3丁目22地先,千葉県,市川市,国分3丁目,22,地先,35.74506214,139.9144374,,,,,,,,,,ATTACH/e002b092-f0b5-44ce-a010-2671075a08f6.JPG,,
122033,,市川市,まごころ道路（下貝塚2丁目20番地先）,,,,,,122033,,千葉県市川市下貝塚2丁目20地先,千葉県,市川市,下貝塚2丁目,20,地先,35.74413858,139.9437994,,,,,,,,,,ATTACH/f3be3769-d586-49e0-9dfc-5042853dd3a4.png,,
122033,,市川市,まごころ道路（国分2丁目24番地先）,,,,,,122033,,千葉県市川市国分2丁目24地先,千葉県,市川市,国分2丁目,24,地先,35.74387047,139.9167694,,,,,,,,,,ATTACH/a06abe19-3356-47a4-9f0b-3a377bb97c01.png,,
122033,,市川市,まごころ道路（本北方3丁目10番地先）,,,,,,122033,,千葉県市川市本北方3丁目10地先,千葉県,市川市,本北方3丁目,10,地先,35.72562764,139.9496462,,,,,,,,,,ATTACH/92f267a9-b86d-486d-9244-29198535aa3a.png,,
122033,,市川市,まごころ道路（下貝塚2丁目32番地先）,,,,,,122033,,千葉県市川市下貝塚2丁目32地先,千葉県,市川市,下貝塚2丁目,32,地先,35.745549,139.938888,,,,,,,,,,ATTACH/876ab577-c07b-47f6-a968-7724109765aa.jpg,,
122033,,市川市,まごころ道路（国府台6丁目14番地先（小塚山ｱｽﾚﾁｯｸそば））,,,,,,122033,,千葉県市川市国府台6丁目14地先,千葉県,市川市,国府台6丁目,14,地先,35.7556,139.906075,,,,,,,,,,ATTACH\4b3a892c-d927-4e3e-9880-c750367968b2.jpg,,
122033,,市川市,まごころ道路（真間5丁目8番地先（郭沫若記念館そば））,,,,,,122033,,千葉県市川市真間5丁目8地先,千葉県,市川市,真間5丁目,8,地先,35.740928,139.911453,,,,,,,,,,ATTACH\1d6bb6f1-ec45-4b3c-865a-00e1dc04e09f.jpg,,
