全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,URL,画像,画像_ライセンス,備考
122033,,市川市,相之川公園,ｱｲﾉｶﾜｺｳｴﾝ,,,,,122033,,千葉県市川市相之川2丁目3,千葉県,市川市,相之川2丁目,3,,35.6787322,139.8987536,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,相之川西公園,ｱｲﾉｶﾜﾆｼｺｳｴﾝ,,,,,122033,,千葉県市川市相之川1丁目900-9,千葉県,市川市,相之川1丁目,900-9,,35.68105169,139.8958023,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,相之川前公園,ｱｲﾉｶﾜﾏｴｺｳｴﾝ,,,,,122033,,千葉県市川市相之川1丁目1077-11,千葉県,市川市,相之川1丁目,1077-11,,35.67938374,139.8973317,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,アイリス公園,ｱｲﾘｽｺｳｴﾝ,,,,,122033,,千葉県市川市市川南3丁目1802-64,千葉県,市川市,市川南3丁目,1802-64,,35.73122378,139.9020361,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あおき公園,ｱｵｷｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷4丁目664-2,千葉県,市川市,曽谷4丁目,664-2,,35.75071453,139.9297114,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あおぎり公園,ｱｵｷﾞﾘｺｳｴﾝ,,,,,122033,,千葉県市川市市川2丁目484-1,千葉県,市川市,市川2丁目,484-1,,35.73256421,139.9036195,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あかがし公園,ｱｶｶﾞｼｺｳｴﾝ,,,,,122033,,千葉県市川市曽谷4丁目945-1,千葉県,市川市,曽谷4丁目,945-1,,35.74684882,139.930815,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あかしや公園,ｱｶｼﾔｺｳｴﾝ,,,,,122033,,千葉県市川市鬼高3丁目1209-2,千葉県,市川市,鬼高3丁目,1209-2,,35.71076047,139.9379668,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あかとんぼ公園,ｱｶﾄﾝﾎﾞｺｳｴﾝ,,,,,122033,,千葉県市川市菅野4丁目1352-22,千葉県,市川市,菅野4丁目,1352-22,,35.73225399,139.9266494,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あさがお公園,ｱｻｶﾞｵｺｳｴﾝ,,,,,122033,,千葉県市川市田尻3丁目1078-3,千葉県,市川市,田尻3丁目,1078-3,,35.70644885,139.9398195,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あざみ公園,ｱｻﾞﾐｺｳｴﾝ,,,,,122033,,千葉県市川市高谷2丁目474-2,千葉県,市川市,高谷2丁目,474-2,,35.69910646,139.9376198,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あじさい公園,ｱｼﾞｻｲｺｳｴﾝ,,,,,122033,,千葉県市川市香取2丁目11-18,千葉県,市川市,香取2丁目,11-18,,35.67959435,139.9067122,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あすなろ公園,ｱｽﾅﾛｺｳｴﾝ,,,,,122033,,千葉県市川市南行徳4丁目19-56,千葉県,市川市,南行徳4丁目,19-56,,35.66366682,139.9071142,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あせび公園,ｱｾﾋﾞｺｳｴﾝ,,,,,122033,,千葉県市川市新田2丁目417-2,千葉県,市川市,新田2丁目,417-2,,35.72325399,139.9147607,,,公園緑地課　(047)712-6367,,,,,,,,,
122033,,市川市,あたご公園,ｱﾀｺﾞｺｳｴﾝ,,,,,122033,,千葉県市川市北国分1丁目2440-57,千葉県,市川市,北国分1丁目,2440-57,,35.75943375,139.9040382,,,公園緑地課　(047)712-6367,,,,,,,,,
